"","prov_name","prov_code","1986_sname","1986_name","1986_code","1987_sname","1987_name","1987_code","1988_sname","1988_name","1988_code","1989_sname","1989_name","1989_code","1990_sname","1990_name","1990_code","1991_sname","1991_name","1991_code","1992_sname","1992_name","1992_code","1993_sname","1993_name","1993_code","1994_sname","1994_name","1994_code","1995_sname","1995_name","1995_code","1996_sname","1996_name","1996_code","1997_sname","1997_name","1997_code","1998_sname","1998_name","1998_code","1999_sname","1999_name","1999_code","2000_sname","2000_name","2000_code","2001_sname","2001_name","2001_code","2002_sname","2002_name","2002_code","2003_sname","2003_name","2003_code","2004_sname","2004_name","2004_code","2005_sname","2005_name","2005_code","2006_sname","2006_name","2006_code","2007_sname","2007_name","2007_code","2008_sname","2008_name","2008_code","2009_sname","2009_name","2009_code","2010_sname","2010_name","2010_code","2011_sname","2011_name","2011_code","2012_sname","2012_name","2012_code","2013_sname","2013_name","2013_code","2014_sname","2014_name","2014_code","2015_sname","2015_name","2015_code","2016_sname","2016_name","2016_code","2017_sname","2017_name","2017_code","2018_sname","2018_name","2018_code","2019_sname","2019_name","2019_code"
"157","黑龙江",230000,"绥化","绥化地区",232300,"绥化","绥化地区",232300,"绥化","绥化地区",232300,"绥化","绥化地区",232300,"绥化","绥化地区",232300,"绥化","绥化地区",232300,"绥化","绥化地区",232300,"绥化","绥化地区",232300,"绥化","绥化地区",232300,"绥化","绥化地区",232300,"绥化","绥化地区",232300,"绥化","绥化地区",232300,"绥化","绥化地区",232300,"绥化","绥化市",231200,"绥化","绥化市",231200,"绥化","绥化市",231200,"绥化","绥化市",231200,"绥化","绥化市",231200,"绥化","绥化市",231200,"绥化","绥化市",231200,"绥化","绥化市",231200,"绥化","绥化市",231200,"绥化","绥化市",231200,"绥化","绥化市",231200,"绥化","绥化市",231200,"绥化","绥化市",231200,"绥化","绥化市",231200,"绥化","绥化市",231200,"绥化","绥化市",231200,"绥化","绥化市",231200,"绥化","绥化市",231200,"绥化","绥化市",231200,"绥化","绥化市",231200,"绥化","绥化市",231200
"158","黑龙江",230000,"黑河","黑河地区",232600,"黑河","黑河地区",232600,"黑河","黑河地区",232600,"黑河","黑河地区",232600,"黑河","黑河地区",232600,"黑河","黑河地区",232600,"黑河","黑河地区",232600,"黑河","黑河市",231100,"黑河","黑河市",231100,"黑河","黑河市",231100,"黑河","黑河市",231100,"黑河","黑河市",231100,"黑河","黑河市",231100,"黑河","黑河市",231100,"黑河","黑河市",231100,"黑河","黑河市",231100,"黑河","黑河市",231100,"黑河","黑河市",231100,"黑河","黑河市",231100,"黑河","黑河市",231100,"黑河","黑河市",231100,"黑河","黑河市",231100,"黑河","黑河市",231100,"黑河","黑河市",231100,"黑河","黑河市",231100,"黑河","黑河市",231100,"黑河","黑河市",231100,"黑河","黑河市",231100,"黑河","黑河市",231100,"黑河","黑河市",231100,"黑河","黑河市",231100,"黑河","黑河市",231100,"黑河","黑河市",231100,"黑河","黑河市",231100
"159","黑龙江",230000,"大兴安岭","大兴安岭地区",232700,"大兴安岭","大兴安岭地区",232700,"大兴安岭","大兴安岭地区",232700,"大兴安岭","大兴安岭地区",232700,"大兴安岭","大兴安岭地区",232700,"大兴安岭","大兴安岭地区",232700,"大兴安岭","大兴安岭地区",232700,"大兴安岭","大兴安岭地区",232700,"大兴安岭","大兴安岭地区",232700,"大兴安岭","大兴安岭地区",232700,"大兴安岭","大兴安岭地区",232700,"大兴安岭","大兴安岭地区",232700,"大兴安岭","大兴安岭地区",232700,"大兴安岭","大兴安岭地区",232700,"大兴安岭","大兴安岭地区",232700,"大兴安岭","大兴安岭地区",232700,"大兴安岭","大兴安岭地区",232700,"大兴安岭","大兴安岭地区",232700,"大兴安岭","大兴安岭地区",232700,"大兴安岭","大兴安岭地区",232700,"大兴安岭","大兴安岭地区",232700,"大兴安岭","大兴安岭地区",232700,"大兴安岭","大兴安岭地区",232700,"大兴安岭","大兴安岭地区",232700,"大兴安岭","大兴安岭地区",232700,"大兴安岭","大兴安岭地区",232700,"大兴安岭","大兴安岭地区",232700,"大兴安岭","大兴安岭地区",232700,"大兴安岭","大兴安岭地区",232700,"大兴安岭","大兴安岭地区",232700,"大兴安岭","大兴安岭地区",232700,"大兴安岭","大兴安岭地区",232700,"大兴安岭","大兴安岭地区",232700,"大兴安岭","大兴安岭地区",232700
"160","黑龙江",230000,"绥芬河","绥芬河市",239001,"绥芬河","绥芬河市",239001,"绥芬河","绥芬河市",239001,"绥芬河","绥芬河市",239001,"绥芬河","绥芬河市",239001,"绥芬河","绥芬河市",239001,"绥芬河","绥芬河市",239001,"绥芬河","绥芬河市",239001,"绥芬河","绥芬河市",239001,"绥芬河","牡丹江市",231000,"绥芬河","牡丹江市",231000,"绥芬河","牡丹江市",231000,"绥芬河","牡丹江市",231000,"绥芬河","牡丹江市",231000,"绥芬河","牡丹江市",231000,"绥芬河","牡丹江市",231000,"绥芬河","牡丹江市",231000,"绥芬河","牡丹江市",231000,"绥芬河","牡丹江市",231000,"绥芬河","牡丹江市",231000,"绥芬河","牡丹江市",231000,"绥芬河","牡丹江市",231000,"绥芬河","牡丹江市",231000,"绥芬河","牡丹江市",231000,"绥芬河","牡丹江市",231000,"绥芬河","牡丹江市",231000,"绥芬河","牡丹江市",231000,"绥芬河","牡丹江市",231000,"绥芬河","牡丹江市",231000,"绥芬河","牡丹江市",231000,"绥芬河","牡丹江市",231000,"绥芬河","牡丹江市",231000,"绥芬河","牡丹江市",231000,"绥芬河","牡丹江市",231000
"161","黑龙江",230000,"阿城","镜泊湖市",239002,"阿城","阿城市",239002,"阿城","阿城市",239002,"阿城","阿城市",239002,"阿城","阿城市",239002,"阿城","阿城市",239002,"阿城","阿城市",239002,"阿城","阿城市",239002,"阿城","阿城市",239002,"阿城","哈尔滨市",230100,"阿城","哈尔滨市",230100,"阿城","哈尔滨市",230100,"阿城","哈尔滨市",230100,"阿城","哈尔滨市",230100,"阿城","哈尔滨市",230100,"阿城","哈尔滨市",230100,"阿城","哈尔滨市",230100,"阿城","哈尔滨市",230100,"阿城","哈尔滨市",230100,"阿城","哈尔滨市",230100,"阿城","哈尔滨市",230100,"阿城","哈尔滨市",230100,"阿城","哈尔滨市",230100,"阿城","哈尔滨市",230100,"阿城","哈尔滨市",230100,"阿城","哈尔滨市",230100,"阿城","哈尔滨市",230100,"阿城","哈尔滨市",230100,"阿城","哈尔滨市",230100,"阿城","哈尔滨市",230100,"阿城","哈尔滨市",230100,"阿城","哈尔滨市",230100,"阿城","哈尔滨市",230100,"阿城","哈尔滨市",230100
"162","黑龙江",230000,"镜泊湖","镜泊湖市",239002,"镜泊湖","镜泊湖市",239002,"镜泊湖","阿城市",239002,"镜泊湖","阿城市",239002,"镜泊湖","阿城市",239002,"镜泊湖","阿城市",239002,"镜泊湖","阿城市",239002,"镜泊湖","阿城市",239002,"镜泊湖","阿城市",239002,"镜泊湖","哈尔滨市",230100,"镜泊湖","哈尔滨市",230100,"镜泊湖","哈尔滨市",230100,"镜泊湖","哈尔滨市",230100,"镜泊湖","哈尔滨市",230100,"镜泊湖","哈尔滨市",230100,"镜泊湖","哈尔滨市",230100,"镜泊湖","哈尔滨市",230100,"镜泊湖","哈尔滨市",230100,"镜泊湖","哈尔滨市",230100,"镜泊湖","哈尔滨市",230100,"镜泊湖","哈尔滨市",230100,"镜泊湖","哈尔滨市",230100,"镜泊湖","哈尔滨市",230100,"镜泊湖","哈尔滨市",230100,"镜泊湖","哈尔滨市",230100,"镜泊湖","哈尔滨市",230100,"镜泊湖","哈尔滨市",230100,"镜泊湖","哈尔滨市",230100,"镜泊湖","哈尔滨市",230100,"镜泊湖","哈尔滨市",230100,"镜泊湖","哈尔滨市",230100,"镜泊湖","哈尔滨市",230100,"镜泊湖","哈尔滨市",230100,"镜泊湖","哈尔滨市",230100
"163","黑龙江",230000,"同江","佳木斯市",230800,"同江","同江市",239003,"同江","同江市",239003,"同江","同江市",239003,"同江","同江市",239003,"同江","同江市",239003,"同江","同江市",239003,"同江","同江市",239003,"同江","同江市",239003,"同江","佳木斯市",230800,"同江","佳木斯市",230800,"同江","佳木斯市",230800,"同江","佳木斯市",230800,"同江","佳木斯市",230800,"同江","佳木斯市",230800,"同江","佳木斯市",230800,"同江","佳木斯市",230800,"同江","佳木斯市",230800,"同江","佳木斯市",230800,"同江","佳木斯市",230800,"同江","佳木斯市",230800,"同江","佳木斯市",230800,"同江","佳木斯市",230800,"同江","佳木斯市",230800,"同江","佳木斯市",230800,"同江","佳木斯市",230800,"同江","佳木斯市",230800,"同江","佳木斯市",230800,"同江","佳木斯市",230800,"同江","佳木斯市",230800,"同江","佳木斯市",230800,"同江","佳木斯市",230800,"同江","佳木斯市",230800,"同江","佳木斯市",230800
"164","黑龙江",230000,"富锦","佳木斯市",230800,"富锦","佳木斯市",230800,"富锦","富锦市",239004,"富锦","富锦市",239004,"富锦","富锦市",239004,"富锦","富锦市",239004,"富锦","富锦市",239004,"富锦","富锦市",239004,"富锦","富锦市",239004,"富锦","佳木斯市",230800,"富锦","佳木斯市",230800,"富锦","佳木斯市",230800,"富锦","佳木斯市",230800,"富锦","佳木斯市",230800,"富锦","佳木斯市",230800,"富锦","佳木斯市",230800,"富锦","佳木斯市",230800,"富锦","佳木斯市",230800,"富锦","佳木斯市",230800,"富锦","佳木斯市",230800,"富锦","佳木斯市",230800,"富锦","佳木斯市",230800,"富锦","佳木斯市",230800,"富锦","佳木斯市",230800,"富锦","佳木斯市",230800,"富锦","佳木斯市",230800,"富锦","佳木斯市",230800,"富锦","佳木斯市",230800,"富锦","佳木斯市",230800,"富锦","佳木斯市",230800,"富锦","佳木斯市",230800,"富锦","佳木斯市",230800,"富锦","佳木斯市",230800,"富锦","佳木斯市",230800
"165","黑龙江",230000,"铁力","伊春市",230700,"铁力","伊春市",230700,"铁力","铁力市",239005,"铁力","铁力市",239005,"铁力","铁力市",239005,"铁力","铁力市",239005,"铁力","铁力市",239005,"铁力","铁力市",239005,"铁力","铁力市",239005,"铁力","伊春市",230700,"铁力","伊春市",230700,"铁力","伊春市",230700,"铁力","伊春市",230700,"铁力","伊春市",230700,"铁力","伊春市",230700,"铁力","伊春市",230700,"铁力","伊春市",230700,"铁力","伊春市",230700,"铁力","伊春市",230700,"铁力","伊春市",230700,"铁力","伊春市",230700,"铁力","伊春市",230700,"铁力","伊春市",230700,"铁力","伊春市",230700,"铁力","伊春市",230700,"铁力","伊春市",230700,"铁力","伊春市",230700,"铁力","伊春市",230700,"铁力","伊春市",230700,"铁力","伊春市",230700,"铁力","伊春市",230700,"铁力","伊春市",230700,"铁力","伊春市",230700,"铁力","伊春市",230700
"166","黑龙江",230000,"密山","牡丹江市",231000,"密山","牡丹江市",231000,"密山","密山市",239006,"密山","密山市",239006,"密山","密山市",239006,"密山","密山市",239006,"密山","密山市",239006,"密山","密山市",239006,"密山","密山市",239006,"密山","鸡西市",230300,"密山","鸡西市",230300,"密山","鸡西市",230300,"密山","鸡西市",230300,"密山","鸡西市",230300,"密山","鸡西市",230300,"密山","鸡西市",230300,"密山","鸡西市",230300,"密山","鸡西市",230300,"密山","鸡西市",230300,"密山","鸡西市",230300,"密山","鸡西市",230300,"密山","鸡西市",230300,"密山","鸡西市",230300,"密山","鸡西市",230300,"密山","鸡西市",230300,"密山","鸡西市",230300,"密山","鸡西市",230300,"密山","鸡西市",230300,"密山","鸡西市",230300,"密山","鸡西市",230300,"密山","鸡西市",230300,"密山","鸡西市",230300,"密山","鸡西市",230300,"密山","鸡西市",230300
